SCHOOL,LOCATION,DISTRICT,REGION
MIM SENIOR HIGH SCHOOL,MIM,ASUNAFO NORTH MUNICIPAL,AHAFO
AHAFOMAN SENIOR HIGH/TECH SCHOOL,GOASO,ASUNAFO NORTH MUNICIPAL,AHAFO
KUKUOM AGRIC SENIOR HIGH SCHOOL,KUKUOM,ASUNAFO SOUTH,AHAFO
SANKORE SENIOR HIGH SCHOOL,SANKORE,ASUNAFO SOUTH,AHAFO
GYAMFI KUMANINI SENIOR HIGH/TECH SCHOOL,WAMAHINSO,ASUTIFI NORTH,AHAFO
"OLA GIRLS SENIOR HIGH SCHOOL, KENYASI",KENYASI,ASUTIFI NORTH,AHAFO
ACHERENSUA SENIOR HIGH SCHOOL,ACHERENSUA,ASUTIFI SOUTH,AHAFO
HWIDIEM SENIOR HIGH SCHOOL,HWIDIEM,ASUTIFI SOUTH,AHAFO
TERCHIRE SENIOR HIGH SCHOOL,TERCHIRE,TANO NORTH,AHAFO
YAMFO ANGLICAN SENIOR HIGH SCHOOL,YAMFO,TANO NORTH,AHAFO
SERWAA KESSE GIRLS SENIOR HIGH SCHOOL,DUAYAW NKWANTA,TANO NORTH,AHAFO
BOAKYE TROMO SENIOR HIGH/TECH SCHOOL,DUAYAW NKWANTA,TANO NORTH,AHAFO
BOMAA COMM. SENIOR HIGH SCHOOL,BOMAA,TANO NORTH,AHAFO
DERMA COMM. DAY SENIOR HIGH SCHOOL,DERMA,TANO SOUTH,AHAFO
SAMUEL OTU PRESBY SENIOR HIGH SCHOOL,TECHIMANTIA,TANO SOUTH,AHAFO
BECHEM PRESBY SENIOR HIGH SCHOOL,BECHEM,TANO SOUTH,AHAFO
FOMENA T.I. AHMAD SENIOR HIGH SCHOOL,FOMENA,ADANSI NORTH,ASHANTI
ASARE BEDIAKO SENIOR HIGH SCHOOL,AKROKERRI,ADANSI NORTH,ASHANTI
DOMPOASE SENIOR HIGH SCHOOL,DOMPOASE,ADANSI NORTH,ASHANTI
BODWESANGO SENIOR HIGH SCHOOL,BODWESANGO,ADANSI NORTH,ASHANTI
AKROFUOM SENIOR HIGH/TECH SCHOOL,AKROFUOM,ADANSI SOUTH,ASHANTI
NEW EDUBIASE SENIOR HIGH SCHOOL,NEW EDUBIASE,ADANSI SOUTH,ASHANTI
OTUMFUO OSEI TUTU II COLLEGE,TETREM,AFIGYA-KWABERE,ASHANTI
ADUMAN SENIOR HIGH SCHOOL,ADUMAN,AFIGYA-KWABERE,ASHANTI
AFIGYAMAN SENIOR HIGH SCHOOL,KYEKYEWERE,AFIGYA-KWABRE,ASHANTI
"ST. MICHAEL'S SENIOR HIGH SCHOOL, AHENKRO",AHENKRO,AFIGYA-KWABRE,ASHANTI
TEPA SENIOR HIGH SCHOOL,TEPA,AHAFO ANO NORTH,ASHANTI
MAABANG SENIOR HIGH/TECH SCHOOL,MAABANG,AHAFO ANO NORTH,ASHANTI
SABRONUM METHODIST SENIOR HIGH/TECH SCHOOL,SABRONUM/HABI TAT,AHAFO ANO SOUTH,ASHANTI
ADUGYAMA COMM. SENIOR HIGH SCHOOL,ADUGYAMA,AHAFO ANO SOUTH,ASHANTI
MANKRANSO SENIOR HIGH SCHOOL,MANKRANSO,AHAFO ANO SOUTH,ASHANTI
TWEAPEASE SENIOR HIGH SCHOOL,TWEAPEASE,AMANSIE CENTRAL,ASHANTI
JACOBU SENIOR HIGH/TECH. SCHOOL,JACOBU,AMANSIE CENTRAL,ASHANTI
ESAASE BONTEFUFUO SNR. HIGH/TECH. SCHOOL,ESAASE BONTEFUFUO,AMANSIE WEST,ASHANTI
MANSOMAN SENIOR HIGH SCHOOL,MANSO ATWERE,AMANSIE WEST,ASHANTI
MANSO-ADUBIA SENIOR HIGH SCHOOL,ADUBIA,AMANSIE WEST,ASHANTI
"WESLEY SENIOR HIGH SCHOOL, KONONGO",KONONGO,ASANTE AKIM CENTRAL MUNICIPAL,ASHANTI
"ST. MARY'S GIRL'S SENIOR HIGH, KONONGO",KONONGO,ASANTE AKIM CENTRAL MUNICIPAL,ASHANTI
KONONGO ODUMASE SENIOR HIGH SCHOOL,ODUMASE,ASANTE AKIM CENTRAL MUNICIPAL,ASHANTI
AGOGO STATE COLLEGE,AGOGO,ASANTE AKIM NORTH,ASHANTI
